original,Malith,Abhaya
විජේවන්න,විපේවන්න,වචිපේවන්න
සුමාලිකා,සුමාලිකා,සුමාලිකා
හතුරුසිංහ,හතුරුසිංහ,හතුරුසිංහ
සෙව්වන්ද,ඈසෙව්චන්ද,ඞසෙව්වන්ද
සෙයිනුඩීන්,සෙයිනුඩීන්,සෙයිනුඩීන්ට
ගොරොක්ගහ,ගොරොක්ගන,ගොමරොක්ගහ
ලක්ශ්මනන්,ලකක්‍්ශ්මනන්,ලත්ශ්මනන්
ලක්සලා,ලක්සලා,ලක්සලා
ජොසප්,ජොසප්,ජොසප්
සඳරුවනි,සඳරුචනි,ඞසඳරුවනි
කුමුදු,කමුදු,කුමුදු
හෙට්ටි,හෙට්ටි,ඛඛඞඝහෙට්ටි
දෙහිවත්තගේ,දෙහිවන්නගේ,දෙහිවත්තගේ
කුට්ට,කර්ට,කුට්ට
ෂෙරිෂ්,ෂර්ෂ්,පෙරිෂ්
සෙල්ලප්පා,සෙල්ලප්පා,සෙල්ලප්පා
හිමල්,හිමල්,නිමල්
ඕපනායක,ඕපනායක,ඕපනායක
සම්පත්,සම්පත්,සම්පත්
හිරුජිත්,හහිරැපිත්,හිරුජිත්
අරුල්දාස්,අරුල්දාස්,ඞඅරුල්දාස්
හසාන්,හසාන්,හසාන්
පීරිස්,පිර්ඨ්,පීර්ථා
තොම්මෙ,තොම්මේ,තොම්මේෙ
බද්දලියනගේ,බද්දලියනගේ,බද්දලියනගේං
ගුනේසලිංගම්,ගුනේසලිංගම්,ගුනේසලිංගම්
උඩුවලෑ,උඩුවල්‍ය,උඩුවල
ජෙන්නත්,ශජෙන්නනත්,ජෙන්නත්
ඩයස්,ඩයස්,ඩයස්
සියමුදලි,සියමුදුලි,ීසියමුදලලි
ෆාහිර්,ආාහිර්,ෆාහිර්
මොහමඩ්,මොහමඩ්,මොහමඩ්
ගමආච්චිගේ,ගමආච්චිගේ,ගමආච්චිගේ
අප්පුහාමිලාගේ,අප්පුහාමිලාගේ,අප්පුහාම්ලාගේ
ප්‍රියදර්ශනී,ප්‍රියදර්ශනී,ප්‍රියදර්ශනී
සීමාන්ගේ,ඇසීමාන්ගේ,ඞසීමාන්ගේ
සිරිචන්ද්‍රන්,සිරචන්දුන්,සිරිචන්දන්
මද්දෙගම,මද්දෙගම,ගමද්දෙශලම
වික්‍රම,විටම,විත්‍රමු
පොඩිමැණිකේ,පොඩ්මැණිකේ,පොඩිමැණිකේ
නිල්මිණි,නිල්මිනි,ඞසනිල්මිනි
දිසානායක,දිසානායක,දිසානායක
ලෙබ්බේ,ඛඞලෙබ්බේ,ඞලෙබ්බේ
හපුවලෑ,හපුවලෑ,හපුවලැ
ඉන්දික,මන්දුකු,ඉන්දික
ප්‍රියංකා,ප්‍රියංකාප,ව්‍රියකා
කුමාර,නුමාර,කුමාර
හොරන,ඞනොරන,හොරන
හේමසිරි,ඞහේමසිර,හේමසිරි
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
විදාන,විදාන,වින
සූරියතිලකරත්නගේ,සූර්යතිලකරත්නගේ,සූරියතිලකරත්නගේ
නිරෝෂිකා,නිරෝෂිීකා,නිරෝෂිකාං
ඉරේෂා,ඞඉරේෂා,ඉරේපනා
වීරසිංහ,ඞඉඅචීරසිංර්‍යං,ඞඇවවීිරසිංං
මනිෂානි,ඞමනිෂානි,ඞහනමනිෂානි
ගෙදර,ගෙදර,ගෙදර
ආචාරිගේ,ආචාර්ගේ,ආචාරිගේ
මද්දුම,මද්දුම,මද්දුම
රන්වල,රන්වල,රන්වල
චන්ද්‍රපාල,චන්ද්‍රපාල,චන්දපාල
දිල්ෂාන්,දිල්ෂාන්,දිල්ෂාන්
මහපතිරන්නැහැලාගේ,වහපතිරන්නැහැලාගේ,මහපතිරන්නැහැලාගේ
දිනේෂ්,දිනේෂ්,දිනේෂ්
රිෆ්නා,රඊථනා,රිෆ්නා
සමුද්‍රාදේවි,සමුද්‍රාදේවිීක,සමුදාදේවි
දේවමුල්ලගේ,දේවමුල්ලගේ,දේවමුල්ලගේ
ෂියාමා,ෂපියාමා,ෂපියාමා
ප්‍රභාත්,එළනාත්,ප්‍රභාත්
චාමර,එචාමම,චාමර
වනසුන්දරී,වචනසුන්දර්,චනයුන්දරට්
රසුන්ත,ඞරසුන්තන,රසුන්ත
සමුද්‍රා,ඉසමුදාා,සමුදා
අලවත්තෙ,අලවත්තෙ,ඞඅලවත්තෙ
මුදියන්සේලාගේචන්ද්‍රාවතී,දයන්සේලාගේචන්ද්‍රාව,දියන්සේලාගේචන්දාව
පේදුරු,පේදුරු,පේදුරු
ක්‍රිෂ්ණදාස්,බ්‍රිෂ්ණණනාස්,ක්‍රිෂ්ණදාස්
පුබ්බාරේ,පුබ්බාරේ,පුබ්බාටේ
නිර්මලා,නිර්මලා,නිර්මලා
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
ජේසුදාසන්,ජඒේසුදාසන්,ජේසුදාසන්
අතුකෝරල,අතුකෝරල,අතුකෝරල
හිරුණිකා,හිරැණිකා,හිරුණිකා
ඉන්දුනි,නමන්දුනි,ඉන්දනි
ෆාරූක්,හෆොරෑක්,ෆාරූක්
සින්න,සින්න,සින්න
ජයදේව,ජයදේව,ජයදේව
බණ්ඩාර,බණ්ඩාර,ඞබණ්ඩාර
ප්‍රියදර්ෂනී,ප්‍රියටර්ෂනී,ප්‍රියදර්ශනී
ප්‍රනාන්දු,එනාන්ළ්‍ර,ප්‍රනාන්දු
නිර්මලා,ඞනිර්මලා,නිර්මලාං
ශිරාන්,ශිරාන්,ශිරාන්
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්ද්‍රඳ්‍ය
සට්ටම්බිරාලලාගේ,සට්ටම්බිරාලලාගේ,සට්ටම්බිරාලලාගේ
දංගම්පාල,දංගම්පාල,දංගම්පාල
පවිලෝන්ඥානරාජ්,පවිලෝන්ඥානරාජී,පච්ලෝන්ඥානරාජ්
කුමාර,කුමාර,කුමාර
සිරිවර්ධන,සිරිවර්ධධයධා,සිරිවර්ධන
සිල්වා,සිල්වා,සිල්වා
චන්දිමා,චන්දමා,චන්දිමා
ලියනආරච්චි,ලියනආරච්චි,ලියනආරච්චි
ෂාරංග,ෂාරග,ෂාරග
උපේන්ද්‍ර,උපේන්ට්‍ර,ඞඛේසඝඋපේන්ද
සම්පත්,සම්පත්,සම්පත්
අසංක,අසංක,අසංක
ගෙදර,ගෙදර,ගෙදර
නින්දගම්,ඞනින්දගගම්ං,නින්දගම්
නෙත්තිකුමාර,නෙත්තිකුමාර,නෙත්තිකුමාරට
ශ්‍රියාණි,ඞඝශ්‍රියානි,ශ්‍රියානි
කිසාරා,කිසාරා,කිසාරා
නන්දන,නන්දුන,නන්දන
නන්දලාල්,නන්දලාල්,නන්දලාල්
ලලිතා,ලලිබා,ලලිතා
සමීරා,අමරා,සමීරා
බදුගේ,බදුගේ,බදුගේ
මොහිදීන්,ඞඈඡමමාහිදීන්,ශමොහිදීන්
ලියනගේ,ලියනගේ,ලියනගේ
මාඹුලගේ,මාඹුලගේ,ශතමාඹුලගේ
ගුරුගේ,ගුරුගේ,ගුරුගේ
හේරත්,හේරත්,හේරත්
ගාමිණී,නාම්,ගාමී
සහන්,ඞඝඉසනන්ං,සහන්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
මාරගේ,ඞමාරගේං,මාරගේ
උපුල්,උපුල්,උපුල්
චක්‍රවරතිගේ,චකබ්‍රවරතිගේ,චක්‍රවරතිගේ
විජයසේකර,චිජයසේකර,ංචිජයසේකර
විජිත,චිප්ත,බිජ්ත
පත්තප්පෙරුම,පත්තප්පෙරැම,පත්තප්පෙරුම
ප්‍රියංකර,ප්‍රියසංඛර,ප්‍රියංකර
කුසුමාවති,කුසුමාවනි,කුසුමාවතී
ලක්‍ෂිකා,ලකක්‍්ෂිකා,ඞලක්ෂිකා
දේවතාපේඩි,දේවතාපේඩ්,දේවතාපේඩ්ි
දර්ශන්,දර්ශන්,දර්ශන්
ජයවීර,ජයවර,ජයවර
ගමගේ,ගමගේ,ගමගේ
මාදම්පෙගේ,මාදම්පෙගේ,මාදම්පෙගේ
පුෂ්ප,පුෂ්ප,පුෂ්ප
සචින්තන,සචින්නනං,සචින්තන
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
වීරසිංහ,චීරසිංරා,විරසිංහ
මධුකා,මධුකා,ඛඞඝඞමධුකා
සහරාන්,සනරාන්,ඞසහරාන්
දිල්ෂාන්,ඞඇදිල්ෂාන්,දිල්ෂාන්
තලංගම,තලංගම,තලංගම
ඉලවරසන්,ඉලවරසන්ං,ඞඉලවරසන්
උපාලි,උපාලි,උපාලි
අශෝකා,අශෝකා,ඞඅශෝකා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
නදීෂා,නදිෂා,නදීෂා
රන්දුනු,රන්දුනු,රන්න
චතුෂ්ක,චතුෂ්ක,සඋචතුෂ්ත
ශානිකා,ශානිකා,ශානිකා
විජේසූරිය,චිජේසූර්ය,ඞඈවිජේසූරිය
නදීකා,නදිකා,නදිකා
සමරකෝන්,සමරකෝන්,සමරකෝන්
වැලිකන්න,චැලිකන්න,වැලිකන්න
වීරප්පන්,චිරජ්පන්,වචීරප්පන්
නයෝමි,නයෝම්,නයෝම්
ලක්සන්,ලක්සන්,ලක්සන්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
රශ්නි,උරශ්නි,රරශනි
රයියන්ගේ,රයියන්ගේ,රයසියන්ගේ
අබ්බාස්,අබ්බාස්,ඞඝඅබ්බාස්
නිරෝෂන්,නිරෝෂන්,නිරෝෂන්
රණවීර,රණවීර,රණවීර
ප්‍රදීප්,පරදර,පදිපය්
දිල්හාන්,දිල්හාන්,දිල්ශාන්
හේවාගමගේ,හේවාගමගේ,හේවාගමගේ
ලසන්ත,ලසන්ත,ඞඋලසන්ත
ක්‍රිෂාන්,බ්‍රිමාන්,ක්‍රිෂාන්
මධුහංසිකා,මධුනංසිකා,මධුහංසිකා
තිස්ස,නිස්ස,ඞඛේඞඝඞතිස්ස
අනුලාවතී,අනුලාවනී,අනුලාවතී
ලියන,ලියයා,ලියනය
සුමනදාස,සුමනදාස,සුමනදාස
කුලරත්න,කුලරත්න,කුලරත්න
කාරියවසම්,කාරයවසම්,කාරියවසම්
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
රෂිණි,උඑෂණි,රජණනිී
ඒකනායක,චිකනායක,ඒකනායක
නාගොඩ,නාගොඩං,නාගොඩ
හේනක,හේනක,ගේනක
කංකානම්ගේ,කංකානම්ගේ,කංකානම්ගේ
ඕපාතගේ,ඕපාතගේ,ඕපාතගේ
මොහම්මඩ්,මොහම්මඩ්,මොහම්මඩ්
තිලකච්චාරිගේ,තිලකච්චාරිගේ,නිලකච්චාරිගේ
කොන්ක,කොන්ක,කොන්ක
තුසිත,තුසිත,තුසිත
සිසිල්,සිසිල්,සිසිල්
ගුරියඹ,ගුරයය,ගූරියය
තීක්ෂණ,ඞතීක්ෂමන,තීක්ෂණ
යෝමාල්,ඞයෝමාල්,යෝමාල්
රුවන්,රූචවන්,රැවන්
දර්ෂිකා,ඛඈසදර්ෂිකා,දර්ෂිකා
වීරසේකර,චීරසේකර,වීරසේකර
සිරිපාල,සිර්පාල,සිරිපාල
ආරච්චිගේ,ආරච්චිගේ,සඅආරච්චිගේ
සහබන්දු,සනබන්ද්‍ර,සහබන්ද්‍රු
ගෙදර,ගෙදර,ගෙදර්
ලක්මාල්,ලක්මාල්,ේසඨලක්මාල්
නස්රින්,නස්ථජන්,ගනය්රින්
රවිචන්ද්‍රන්,අජරචිචන්ද්‍රූන්,රවිචන්දුන්
වන්දනා,චන්දනා,චන්දනා
හර්ෆට්,හර්ෆට්,හර්්ෆට්
නෙවිල්,නෙවිල්,නෙවිල්
කොඩිප්පිලි,කොඩ්ර්පිලි,කොඩිප්පිලි
වත්තේ,වත්තේ,වත්තේ
කජෙන්තිරතුරයි,කජෙන්තිරතුරයි,කජෙන්තිරතුරයි
මුම්තාජ්,මුම්තාජථ්,ඞමුම්තාජ්
නිමේෂ,ේශනිමේෂ,නිමේෂ
සරත්කුමාර්,සරත්කුමාර්,ඞඈසරත්කුමාර්
හොරවල,හොරවල,ඞඛගහොරවල
නිලන්ති,නිලන්ති,නිලන්ති
ටර්නර්,එරර්,ටර්තර්
චන්දිමා,චන්දිමා,ඛේසචන්දිමා
පුල්ලේ,පුල්ලේ,ේසඞපුල්ලේ
පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ
හේවාගේ,ඞහේවාගේ,ඞහේවාගේ
කේසව,කේහවව්,කේසව
ජයවීර,පියවර,ජයවීර
ලසත්,ලසත්,ලසත්
කුරුප්පු,කුරුප්පු,කුරුපපු
කුමාරි,කුමාර්,කුමාරි
හේරත්,ඈහනේරත්,ගේන්
රංගනා,රංගනා,රංගනා
අස්ලාන්,අස්ලාන්,අස්ලාන්
සමන්,සමන්,සමන්
ශානුක,ශානුක,ශානුක
දෙහ්රාන්,දෙන්රාන්,ඞදෙහ්රාන්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
විතාන,ඞඝචිතාන,චිතාන
ආරච්චි,ආරච්චි,ධේසඝආරච්ච්
ලහිරු,ලහිරු,ලහිරු
නවරත්න,නවරත්න,නවරත්න
සරීනා,ඉසර්නා,සරනා
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
සචිත්ෂාන්,සසචින්ෂාන්,ඞඇඅසචිත්ෂාන්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
මහුරුප්,මහනුරැප්,ඞමහුරුප්
පුන්‍යවර්ධන,පුන්‍යවර්ධන,පුන්‍යවර්ධන
නයනා,ගගනා,නයනා
මනන්නලාගේ,මනන්නලාගේ,මනන්නලාගේ
නයිම්,නයිම්,නයිීම්
මානගේ,මානගේ,මානගේ
පතිරණගේ,පතිරණගේ,පතිරණගේ
වැලිකල,වැලිකල,ඞඇවැලිකල
මොහමඩ්,මොහමඩ්,ඞමොහමඩ්
