original,Malith,Abhaya
කරුණාරත්න,කරැණාරත්න,කරුණාරත්න
නවාර්දීන්,නචාර්දීන්,නවාර්දීන්
බුහාරි,රබුසාරි,බුහාදශි
කුසුමලතා,කුසුමමතා,කුසුමලතා
මල්ලගේ,මල්ලගේ,මල්ලගේ
නිල්මිණි,ඞනිල්මිනි,නිල්මිනි
ජීවන්ති,පීවන්ති,ජිවන්ති
අරනායක,අරනායක,අරනායක
සුසන්ත,සුසන්ත,සුසන්ත
මධුභාෂිණී,ඞමධුහාෂිය,මධුභාෂිග
සතරසිංහ,සතරසිංහ,සතරසිංහ
නිපුනච්චාරිගේ,නිපුනච්චාර්ගේ,නිපුනච්චාරිගේ
මාරිමුත්තු,මාදමුතතු,මාරිමුත්තු
දිසානායක,දිසානායක,දිසානායකං
කැනබැද්දරගේ,කැනබැද්දරගේ,කැනබැද්දරගේ
සමරපාල,සමරපාල,සමරපාල
කුමාරි,කුමාරට,කුමාරි
ගීතාන්ජලී,ගීතාන්ජපලිං,ගීතාන්ජලි
ෂාකිරා,ෂාකිරා,මාතිරා
මධුෂානී,මධුෂානී,මධුමණානී
මහකුඹුරේ,හමහකුඹුරේ,මගකතුඹුරේ
කොතලාවල,කොතලාවල,කොතලාවල
අනුෂා,අනුෂා,අනුෂා
හේරත්,හේරත්,ගේත්
රණසිංහ,ඈරණසිංහං,රණසිංහ
චතුරංග,චතුරංග,ඉචතුරග
සිතාර,සිතා්ර,සිතාර
නිලුකා,නිලූකා,නිලුකා
දිල්රුක්ෂි,දිල්රැක්ෂි,දිල්රුක්ෂ
ගෙදර,ඞඔගෙදරර,අගර
අතුල,අතු,අතුලු
සෙව්වන්දි,ඞඈසෙච්වන්දි,සෙව්වන්දි
තිලකලාගේ,තිලකලාගේ,තිලකලාගේ
අමරසේන,අමරසේන,අමරසේන
බෝවලගේ,බෝචලගේ,බෝවලගේ
සන්තිරසේකරන්,සන්තිරසේකරන්,සන්තිරසේකරන්
හේවගේ,හනේවගේ,ඛඞසගේවගේ
රිසාඩ්,එිසාව්,රිසාඩ්
අප්පුහාමිලාගේ,අප්ථුහාමිලාගේ,අප්පුහාමිලාගේ
දිල්රුක්ෂි,දිල්රුක්ෂි,ඛඞඇදිල්රුක්ෂිං
මයිලප්පන්,මයිලප්පන්,මයිලප්පන්
දීකිරිකෑගේ,දිීකිරකෑගේ,දිීතිරිකගේ
ප්‍රතීපා,ප්‍රතිපාං,රංප්‍රතීපා
දිසානායක,දිසානායක,දිසානායක
රණසිංහ,රණසිංහ,ඞඨරණසිංං
මැටිවිලියෙ,මැටිවිලියෙ,මැටිවිලියෙ
අජිත්,අපිත්,අරත්
ජයශාන්ත,ජයශාන්ත,ජයශාන්ත
උදේශ්,උදේශ්,උදේශ්
අප්පුහාමිලාගේ,අප්ථුහාමිලාගේ,අප්පුහාමිලාගේ
දමයන්ති,ඈදමයන්ති,දමයන්ති
විජිත,චිජපිත,චිජත
බිම්සර,ඞඬබීම්සර,ඛඞසබිම්සට
රාජමන්ත්‍රිලාගේ,රාජමන්ත්‍රිලාගේ,රාජමන්ත්‍රිලාගේ
චමරි,වම,එම්
චතුරංග,චතුරංග,චතුරංග
ලසිත,ලසිත,ලසිත
අත්තනායක,අත්තනායක,අත්තනායක
මබේරියගේ,මබේරියගේ,මබෙරියගේ
මාදුගොඩ,මාදුගොඩ,මාදුගොඩ
මොහමඩ්,මොහමඩ්,මොහමඩ්
කනගරාජ්,කනගරාජ්,කනගරාජ්ං
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
කණමීවල,කණම්වල,කණම්වල
ආරච්චි,ආරච්චි,ේසඞඛආරච්ච්
මොහොමඩ්,මොහොමඩ්,මොහොමඩ්
හපන්,බපන්,හපන්
ත්‍යාගරාජා,ත්‍යාගරාජා,ත්‍යාගරාජා
ජයසිරි,පජයසර්,ජයසිරි
මහේෂ්වරී,මනහේෂ්වර්,සඇමහේෂ්වර්
බෝඹුවලගේ,බෝඹුවලගේ,බෝඹුවලගේ
ඉන්දුමතී,ඞඞහමන්දුමන්,ඞඉන්දුමත්
කන්නන්ගරගේ,කන්නන්ගරගේ,කන්නන්ගරගේ
සුමේධ,සුමේධ,ඈසුමේධඛ
කාරියවසම්,කාර්යවසම්,කාරියවසම්
විජේතුංග,චිපේතුංග,විජේතුංග
සමරතුංග,සමරතුංග,ඞසමරතුග
උපේක්ෂා,උපේක්ෂා,ඨඇජඋපේක්ෂා
ඉනෝකා,ඉනෝකා,ඉනෝකා
සලින්ද,සිලින්,ආයසසලින්ද
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
සාජහාන්,සාජහභාන්,ඞසාජහාන්
විතානාච්චි,වචිතානාච්ච්,විතානාච්චි
අත්තදස්සි,අත්තදස්සි,ඬශඅත්තදස්සි
කුමරකුරු,කුමරකුරු,කුමරකුරු
