original,Error,Corrected
විතානගේ,චිතානගේ,චිතානගේ
මැල්ලව,ඞමැල්ලව,ඞමැල්ලව
සිල්වා,සිල්වා,සිල්වා
සිසිර,සිසිර,සිසිර
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
දර්ශන්,දර්ශන්,දර්ශන්
ප්‍රනාන්දු,ප්‍රනාන්දු,ප්‍රනාන්දු
නීල්කාන්ති,නීල්කාන්ති,නීල්කාන්ති
කාංචන,කාංචන,කාංචන
වීරසිංහගේ,වීරසිංහගේ,වීරසිංහගේ
මැගිරිගලගේ,මැගිරිගලගේ,මැගිරිගලගේ
කුමාර,කුමාර,කුමාර
පුෂ්පලතා,පුෂ්පලනා,පුෂ්පලනා
ඉබ්‍බ්‍රාහිම්,මබ්බ්‍රාහ්ම්,මබ්බ්‍රාහ්ම්
මහේෂ්,ඛඞශඉමහේෂ්,ඛඞශඉමහේෂ්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
තිලකාවතී,ඞතිලකාවතී,ඞතිලකාවතී
ක්‍රිෂ්නන්,බ්‍රිෂ්නන්,බ්‍රිෂ්නන්
රුවන්තිකා,රැචන්නිකා,රැචන්නිකා
නුවරපක්ෂ,නුවරපක්ෂ,නුවරපක්ෂ
පුලිංගම්,පුලිංගමි,පුලිංගමි
තුරෙයිරාසසිංහම්,තුරෙයිරාසසිංහමි,තුරෙයිරාසසිංහමි
ඥානවතී,ඥානවතී,ඥානවතී
ඉමියාගේ,ඞමමයාගේ,ඞමමයාගේ
හලීම්,ඞහලීමි,ඞහලීමි
ක්‍රිෂ්ණ,ක්‍රිෂ්ණ,ක්‍රිෂ්ණ
දොඩම්පෙ,දොඩම්පෙ,දොඩම්පෙ
සඳරුවන්,සඳරුවන්,සඳරුවන්
ගබච්චිගේ,ගබචිචිගේ,ගබචිචිගේ
කුමාරි,යකුමාජ,යකුමාජ
ගුණතුංග,ගුණතංග,ගුණතංග
කුලරත්න,කුලරත්න,කුලරත්න
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
විදානලාගේ,විදානලාගේ,විදානලාගේ
කපුගේ,ඞකපුගේ,ඞකපුගේ
මහමඩ්,මහමඩ්,මහමඩ්
අෂානි,අෂානි,අෂානි
පෙරේරා,පෙරේරා,පෙරේරා
සුලෙයිහා,සුලෙයිහා,සුලෙයිහා
මුණසිංහ,මුණසිංහ,මුණසිංහ
හෙන්නායක,හෙන්නායක,හෙන්නායක
මැදගෙදර,මැදගෙදර,මැදගෙදර
සරත්,තරත්,තරත්
මධුසංඛ,ඞඈමධුසංඞ,ඞඈමධුසංඞ
කාන්ති,කාන්ති,කාන්ති
අමරාවතී,අමරාවතී,අමරාවතී
සුනන්ද,ඞඉඝසුනන්දලද,ඞඉඝසුනන්දලද
චමෝදි,ඞචමෝද්‍රි,ඞචමෝද්‍රි
ෆහඩ්,ලතහඩ්,ලතහඩ්
ඉෂාන්,ඉමෂාත්,ඉමෂාත්
වළඳන,එළඳූන,එළඳූන
පල්ලෙගෙදරලාගේ,පල්ලෙගෙදරලාගේ,පල්ලෙගෙදරලාගේ
ඇග්නස්,ඇග්නස්,ඇග්නස්
ප්‍රභාත්,ප්‍රමාත්,ප්‍රමාත්
රෝකිනී,රෝකිනී,රෝකිනී
මුහම්මදු,ඞඨඡමුහම්මටදු,ඞඨඡමුහම්මටදු
සුදර්සන්,සුදර්සන්,සුදර්සන්
දේදුනු,දේදුනු,දේදුනු
ප්‍රියංග,ප්‍රියසහා,ප්‍රියසහා
සුරංජ,සුරංජ,සුරංජ
වින්ටන්,චින්ටන්,චින්ටන්
රූපසිංහ,ඞරෑළසිංහං,ඞරෑළසිංහං
කොඩිතුවක්කු,කොඩිතුවක්කු,කොඩිතුවක්කු
ඉමේෂ්,ඉමේෂ්,ඉමේෂ්
කළුආරච්චි,කළුආරච්චිං,කළුආරච්චිං
නිෂාද්,නිෂාදි,නිෂාදි
වීරසිංහ,ඞවීරසිංහ,ඞවීරසිංහ
ඉල්යාස්,ලේයාස්,ලේයාස්
ප්‍රනාන්දු,පඑ්‍රනාන්ද්‍රා,පඑ්‍රනාන්ද්‍රා
තක්‍ෂිලා,තකක්‍්ෂලා,තකක්‍්ෂලා
සිතම්බරනඩරාජා,සිතම්බරනඩරාජා,සිතම්බරනඩරාජා
ප්‍රේමසිරි,ඛම්‍රේමසිට්,ඛම්‍රේමසිට්
දමයන්ති,දමයන්ති,දමයන්ති
පෙරුම්බඩ,පෙරැම්බඩ,පෙරැම්බඩ
උඩගම,උඩගම,උඩගම
කරුණා,කරුණා,කරුණා
දේශප්‍රිය,දේශප්‍රිය,දේශප්‍රිය
පතිරගේ,පතිරගේ,පතිරගේ
මාදුළුආරච්චි,මාදුළඑආරච්චි,මාදුළඑආරච්චි
දීපිකා,දීපිකා,දීපිකා
අහමඩ්,අනමඩ්,අනමඩ්
සංජීවනී,සංජීවනි,සංජීවනි
පැතුම්,පැතුමි,පැතුමි
රත්නායක,රත්නායක,රත්නායක
පංචා,පංචා,පංචා
සෙනෙවිරත්න,ඔසෙනෙවිරත්න,ඔසෙනෙවිරත්න
රත්නායක,රත්නායක,රත්නායක
සඳමාල්,සඳමාල්,සඳමාල්
සමරසිංහ,සමරසිංහ,සමරසිංහ
විතාරණගේ,විතාරණගේ,විතාරණගේ
හංසනි,එභංසනි,එභංසනි
මලීෂ,ඞමලීෂ,ඞමලීෂ
අනුලාවති,අනුලාවනි,අනුලාවනි
රත්නායක,රත්නායක,රත්නායක
අසංක,අසංක,අසංක
දිල්රුක්,දිල්රැක්,දිල්රැක්
වර්ණකුලසූරිය,වර්ණකුලසූරය,වර්ණකුලසූරය
වීරසිංහ,වීරසිංහ,වීරසිංහ
අමරසේකර,අමරසේකර,අමරසේකර
බුද්ධික,බුද්ධිධා,බුද්ධිධා
හරහා,භරහා,භරහා
තිලනි,සිලනිි,සිලනිි
දිඹුල්ගස්කොටුවේ,දිඹුල්ගස්කොටුවේ,දිඹුල්ගස්කොටුවේ
ප්‍රදීප්,ප්‍රදජ්,ප්‍රදජ්
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
මුහන්දිරම්ලාගේ,මුහන්දිරම්ලාගේ,මුහන්දිරම්ලාගේ
මොහමදු,මොනමටදු,මොනමටදු
මුතුපටින්ගේ,මුතුපටින්ගේ,මුතුපටින්ගේ
සුදේසිත,සුදේසිත,සුදේසිත
ගෙදර,ගෙදර,ගෙදර
නල්ලපෙරුම,නල්ලපෙරුම,නල්ලපෙරුම
හර්ෂ,ආර්ෂ,ආර්ෂ
හේරත්,ඞහේරත්,ඞහේරත්
වීරකෝන්,චිරකෝන්,චිරකෝන්
රේණුකා,රේණුකා,රේණුකා
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
දාබරේ,දාබරේ,දාබරේ
කළුවරලාගේ,කළුවරලාගේ,කළුවරලාගේ
සගයරාජ්,සගයරාජ්ං,සගයරාජ්ං
ප්‍රභාත්,ළහාත්,ළහාත්
පේඩිගේ,පේඩිගේ,පේඩිගේ
විතාරනගේ,චිතාරනගේ,චිතාරනගේ
ගෙදර,ගෙදර,ගෙදර
බණ්ඩාර,බණ්ඩාර,බණ්ඩාර
නිරංජන,ඞඉනිරංජන,ඞඉනිරංජන
රන්ජනී,රන්ජන්,රන්ජන්
නුවන්,ඞනුචවන්,ඞනුචවන්
තෙන්නකෝන්,තෙන්නකෝන්,තෙන්නකෝන්
සමදරි,සමුළු,සමුළු
විමලසේන,විමලසේන,විමලසේන
අගම්පොඩි,අගම්පොඩිං,අගම්පොඩිං
ස්වර්නලතා,ස්වර්නලතාං,ස්වර්නලතාං
කණ්ඩම්බිගේ,කණ්ඩම්බිගේ,කණ්ඩම්බිගේ
සෙව්වන්දි,සෙව්වන්දි,සෙව්වන්දි
මධුසංඛ,මධුසංඛ,මධුසංඛ
ප්‍රදීප්,ළුදරදුර,ළුදරදුර
අත්තනපොල,අත්තනපොල,අත්තනපොල
නිපුන්,නිපුන්,නිපුන්
ඩනිස්,ඩනිස්,ඩනිස්
සෙයිනුලාබ්දීන්,ඔසසයිනුලාබිදින්,ඔසසයිනුලාබිදින්
දේවානන්ද,දේවානන්ද,දේවානන්ද
රාජපක්ෂ,ඞඈඋථරාජපක්ෂ,ඞඈඋථරාජපක්ෂ
සම්පත්,යසම්පත්,යසම්පත්
උදයන්ත,ඞඋදයන්ත,ඞඋදයන්ත
රණසිංහ,රණසිංං,රණසිංං
ටෂ්මිලා,ට්‍රෂ්මිලළා,ට්‍රෂ්මිලළා
ෂන්මුගප්‍රියා,ෂන්මුගප්‍රියා,ෂන්මුගප්‍රියා
හන්දි,හන්ද,හන්ද
අප්සරා,අප්සරා,අප්සරා
සේනාරත්න,සේනාරන්න,සේනාරන්න
ජයවර්ණ,ජයවරණ,ජයවරණ
අනුරාධා,අනුරාධා,අනුරාධා
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ලියනගේ,ලියනගේ,ලියනගේ
මල්ලිකා,ඞමල්ලිකා,ඞමල්ලිකා
අතුකෝරාල,අතුකෝරාල,අතුකෝරාල
වීරසිංහගේ,වීරසිංහගේ,වීරසිංහගේ
පරසුරාමන්,පරසුරාමන්,පරසුරාමන්
මාවලගෙදර,මාවලගෙදර,මාවලගෙදර
ගුරුගේ,ඞහගුරුගේ,ඞහගුරුගේ
වීසින්,විසින්,විසින්
ශ්‍රියන්ත,ශ්‍රියන්න,ශ්‍රියන්න
ප්‍රදීප්,ප්‍රුදුිප්,ප්‍රුදුිප්
සුමේෂ්,ඞකසසුමේෂ,ඞකසසුමේෂ
මැදගොඩ,මැදගොඩ,මැදගොඩ
බණ්ඩාර,බණ්ඩාර,බණ්ඩාර
හීනටිමුල්ලගේ,හීනටිමුල්ලගේ,හීනටිමුල්ලගේ
සොඳරන්,සොඳරන්,සොඳරන්
ගෙදර,ගෙදර,ගෙදර
හේමලතා,හේමලතා,හේමලතා
මානගේ,මානගේ,මානගේ
දිසානායක,දිසානායක,දිසානායක
නලින්,නලින්,නලින්
