name,label
විතානගේ,1
චිතානගේ,0
විතානගේ,0
මැල්ලව,1
ඞමැල්ලව,0
ේශමැල්ලව,0
සිල්වා,1
සිසිර,1
ප්‍රනාන්දු,1
ප්‍රනාන්ද්‍ර,0
දර්ශන්,1
දර්ශශ්,0
ප්‍රනාන්දු,1
නීල්කාන්ති,1
කාංචන,1
වීරසිංහගේ,1
වීරසිංහගේ,0
වීරසිංහගේ,0
මැගිරිගලගේ,1
මැගිරිගලගේ,0
මැගිරිගලගේ,0
කුමාර,1
පුෂ්පලතා,1
පුෂ්පලනා,0
ඞඈජඡපුෂ්පලතා,0
ඉබ්‍බ්‍රාහිම්,1
මබ්බ්‍රාහ්ම්,0
ඉබඩුබ්‍රාහම්,0
මහේෂ්,1
ඛඞශඉමහේෂ්,0
මහේෂ්,0
මුදියන්සේලාගේ,1
මුදියන්සේලාගේ,0
මුදියන්සේලාගේ,0
තිලකාවතී,1
ඞතිලකාවතී,0
ඞතිලකාවතී,0
ක්‍රිෂ්නන්,1
බ්‍රිෂ්නන්,0
ංක්‍රිෂ්නන්,0
රුවන්තිකා,1
රැචන්නිකා,0
රැවන්තිකා,0
නුවරපක්ෂ,1
පුලිංගම්,1
පුලිංගමි,0
පුලිංම්,0
තුරෙයිරාසසිංහම්,1
තුරෙයිරාසසිංහමි,0
ඥානවතී,1
ඉමියාගේ,1
ඞමමයාගේ,0
ඉමියාගේ,0
හලීම්,1
ඞහලීමි,0
ක්‍රිෂ්ණ,1
ක්‍රීෂ්න්,0
දොඩම්පෙ,1
දොඩම්පෙ,0
දොඩම්පෙ,0
සඳරුවන්,1
ගබච්චිගේ,1
ගබචිචිගේ,0
ගබච්චිගේ,0
කුමාරි,1
යකුමාජ,0
ගුණතුංග,1
ගුණතංග,0
කුලරත්න,1
ඞඝකුලරත්න,0
මුදියන්සේලාගේ,1
මුදියන්සේලාගේ,0
මුදියන්සේලාගේ,0
විදානලාගේ,1
විදානලාගේ,0
විදානලාගේ,0
කපුගේ,1
ඞකපුගේ,0
කපුගේ,0
මහමඩ්,1
අෂානි,1
පෙරේරා,1
පෙරේරා,0
පෙරේරා,0
සුලෙයිහා,1
මුණසිංහ,1
මුණසිං,0
හෙන්නායක,1
මැදගෙදර,1
සරත්,1
තරත්,0
මධුසංඛ,1
ඞඈමධුසංඞ,0
මධුසංට,0
කාන්ති,1
අමරාවතී,1
සුනන්ද,1
ඞඉඝසුනන්දලද,0
ඛේඝඝසුනන්ද,0
චමෝදි,1
ඞචමෝද්‍රි,0
ඬචමෝදි,0
ෆහඩ්,1
ලතහඩ්,0
එගඩ්,0
ඉෂාන්,1
ඉමෂාත්,0
ඉමාන්,0
වළඳන,1
එළඳූන,0
ධවළඳන,0
පල්ලෙගෙදරලාගේ,1
පල්ලෙගෙදරලාගේ,0
පල්ලෙගෙදරලාගේ,0
ඇග්නස්,1
ප්‍රභාත්,1
ප්‍රමාත්,0
ප්‍රහාත්,0
රෝකිනී,1
රෝකිනී,0
ශරෝකිනී,0
මුහම්මදු,1
ඞඨඡමුහම්මටදු,0
ඛඞඝමුහම්මමු,0
සුදර්සන්,1
සුදර්ඝසන්,0
දේදුනු,1
දේදුනු,0
දේදුනු,0
ප්‍රියංග,1
ප්‍රියසහා,0
ප්‍රියාග,0
සුරංජ,1
සුරජු,0
වින්ටන්,1
චින්ටන්,0
චින්ටන්,0
රූපසිංහ,1
ඞරෑළසිංහං,0
කොඩිතුවක්කු,1
කොඩිතුවක්කු,0
කොඩිතුවක්කු,0
ඉමේෂ්,1
ඉමේෂ්,0
ඉමේෂ්,0
කළුආරච්චි,1
කළුආරච්චිං,0
නිෂාද්,1
නිෂාදි,0
නිපාද්,0
වීරසිංහ,1
ඞවීරසිංහ,0
විරසිංහ,0
ඉල්යාස්,1
ලේයාස්,0
ේඞඝඞඉල්යාස්,0
ප්‍රනාන්දු,1
පඑ්‍රනාන්ද්‍රා,0
ේඛඨජප්‍රනාන්ද්‍රාං,0
තක්‍ෂිලා,1
තකක්‍්ෂලා,0
තක්මලා,0
සිතම්බරනඩරාජා,1
ප්‍රේමසිරි,1
ඛම්‍රේමසිට්,0
ප්‍රේමයයි,0
දමයන්ති,1
ඞදමයන්නි,0
පෙරුම්බඩ,1
පෙරැම්බඩ,0
පෙරුම්බ්බඩ,0
උඩගම,1
කරුණා,1
ඞසකරුණා,0
දේශප්‍රිය,1
දේශප්‍රිය,0
දේශප්‍රිය,0
පතිරගේ,1
පතිරගේ,0
පතිරගේ,0
මාදුළුආරච්චි,1
මාදුළඑආරච්චි,0
මාදුඑආරච්චි,0
දීපිකා,1
දිරිකා,0
අහමඩ්,1
අනමඩ්,0
අගමඩ්,0
සංජීවනී,1
සංජීවනි,0
පැතුම්,1
පැතුමි,0
රත්නායක,1
පංචා,1
පචා,0
සෙනෙවිරත්න,1
ඔසෙනෙවිරත්න,0
රත්නායක,1
සඳමාල්,1
ඞඛසඳමාල්,0
සමරසිංහ,1
ඞසඇසමරසිංහ,0
විතාරණගේ,1
විතාරණගේ,0
විතාරණගේ,0
හංසනි,1
එභංසනි,0
ේසඨහංසනි,0
මලීෂ,1
ඞමලීෂ,0
අනුලාවති,1
අනුලාවනි,0
ඞඅනුලාවති,0
රත්නායක,1
අසංක,1
දිල්රුක්,1
දිල්රැක්,0
වර්ණකුලසූරිය,1
වර්ණකුලසූරය,0
වීරසිංහ,1
ඞවිරසිංහං,0
අමරසේකර,1
අමරසේකර,0
අමරසේකර,0
බුද්ධික,1
බුද්ධිධා,0
බුද්ධිය,0
හරහා,1
භරහා,0
තිලනි,1
සිලනිි,0
දිඹුල්ගස්කොටුවේ,1
දිඹුල්ගස්කොටුවේ,0
දිඹුල්ගස්කොටුවේ,0
ප්‍රදීප්,1
ප්‍රදජ්,0
ප්‍රදීජ්,0
ආරච්චිගේ,1
ආරච්චිගේ,0
ආරච්චිගේ,0
මුහන්දිරම්ලාගේ,1
මුහන්දිරම්ලාගේ,0
මුහන්දිරම්ලාගේං,0
මොහමදු,1
මොනමටදු,0
ඞමොහමදු,0
මුතුපටින්ගේ,1
මුතුපටින්ගේ,0
මුතුපටින්ගේ,0
සුදේසිත,1
සුදේසිත,0
ඞශඉසුදේසිතං,0
ගෙදර,1
ගශෙදර,0
නල්ලපෙරුම,1
හර්ෂ,1
ආර්ෂ,0
සර,0
හේරත්,1
ඞහේරත්,0
හේරත්,0
වීරකෝන්,1
චිරකෝන්,0
වීරකෝන්,0
රේණුකා,1
රේණුකා,0
ඞරෙේණුකා,0
ආරච්චිලාගේ,1
ආරච්චිලාගේ,0
ආරච්චිලාගේ,0
දාබරේ,1
දාබරේ,0
දාබරේ,0
කළුවරලාගේ,1
කළුවරලාගේ,0
කළුවරලාගේ,0
සගයරාජ්,1
සගයරාජ්ං,0
ප්‍රභාත්,1
ළහාත්,0
ප්‍රහාත්,0
පේඩිගේ,1
පේඩිගේ,0
පේඩිගේ,0
විතාරනගේ,1
චිතාරනගේ,0
වචිතාරනගේ,0
ගෙදර,1
බණ්ඩාර,1
නිරංජන,1
ඞඉනිරංජන,0
නිරජන,0
රන්ජනී,1
රන්ජන්,0
රනජනී,0
නුවන්,1
ඞනුචවන්,0
තෙන්නකෝන්,1
තෙන්නකෝන්,0
තෙන්නකෝන්,0
සමදරි,1
සමුළු,0
සමැරී,0
විමලසේන,1
විමලසේන,0
විමලසේන,0
අගම්පොඩි,1
අගම්පොඩිං,0
ඞඅගම්පොඩි,0
ස්වර්නලතා,1
ස්වර්නලතාං,0
කණ්ඩම්බිගේ,1
කණ්ඩම්බිගේ,0
කණ්ඩම්බිගේ,0
සෙව්වන්දි,1
සෙව්වන්දිං,0
මධුසංඛ,1
