original,Malith,Abhaya
ලන්ත්‍රා,ඞන්ටම්‍රා,ලන්ත්‍රාං
ප්‍රදීප්,ප්‍රදිප්,යපුදිජපි
මොහොමඩ්,මොහොමඩ්,ශමොහොමඩ්
බණ්ඩා,බණ්ඩා,බණ්ඩා
මීගහවත්ත,මීගහවත්ත,ඞමීගහවත්ත
කුඩාපාවුලගේ,කුඩාපාවුලගේ,කුඩාපාවුලගේ
ජයකොඩි,ජයකොඩි,ජයකොඩි
ගෝබීනාත්,ගෝබනාත්,ඞගෝබීිනාත්
නෙලුෂිකා,නෙලඳූෂිකා,නෙලූෂිකා
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
ගංගා,ඞගංශා,ගංගා
හේවගේ,ඬහේවගේ,ඛඞහේවගේං
ආරච්චිලාගේ,ආරච්චිලාගේ,ආරච්චිලාගේ
මලිත්,මලත්,ේසමලිත්
සංජීව,සංජීව,සංජීව
එදිරිමාන්නගේ,චිදිර්මාන්නගේ,චඑදිරිමාන්නගේ
මහේෂ්,ේඞඝමනහේෂ්,මහේෂ්
සන්නිරදාසන්,සන්නිරදාසන්,සන්නිරදාසන්
සුභාෂ්,යසුභාෂ්,සුභාෂ්
රත්නප්පුලිගේ,රත්නප්ථුලිගේ,රත්තප්පුලිගේ
අප්පුහාමිලාගේ,අප්පුහාමිලාගේ,අප්පුහාමිලාගේ
පිටකටුවන,පිටකටුවන,විටකටුවන
රවිඳු,රව්ල්‍රු,රවිඳු
හරිහරන්,තරිහතරන්,ගරිහරන්
සුනන්ද,සුනන්ද,සුනන්දං
අබේවික්‍රම,අබේවික්‍රම,අබේවික්‍රම
බලාපුවඩුගේ,බලාපුවඩුගේ,බලාපුවඩුගේ
ඇල්ලගේ,ඇල්ලගේ,ඇල්ලගේ
පතිරනගේ,පතිරනගේ,පතිරනගේ
ෆයිසාල්,ෆයිසාල්,ෆයිසාල්ං
අයේෂා,අයේෂා,අයේෂා
ප්‍රකාස්,ප්‍රකාස්,ප්‍රකාස්
ගුණහිංඟගේ,ගුණහිංගේං,ගුණහිරඩගේ
මොහමඩ්,මොහමඩ්,ඞඛමොහමඩ්
සිරිමා,සිරමා,සිරිමා
පතිරණගේ,පතිරණගේ,පතිරණගේ
වර්ෂකෝන්,වර්ෂකෝන්,වඑර්ෂකෝන්
කාන්තරත්න,කාන්තරත්න,කාන්තරත්නං
ගයාන්,ගයාන්,ගයාන්
කුමරප්පෙරුමගේ,කුමරප්පෙරැමගේ,කුමරප්පෙරුමගේ
වසන්ත,වසන්ත,වසන්ත
අනුෂ්කා,අනුෂ්කා,අනුෂ්කා
බඹරැන්දගේ,බඹරැන්දගේ,බඹරැන්දගේ
කුසුමලතා,කුසුමලතා,කුසුමලතා
චාලට්,චාලටි,චාලට්
ලියනෝරිස්,ලියනෝරස්,ලියනෝරිස්
මංචනායක,මංචනායක,මංචනායක
කිරුශන්තන්,කිරැශන්තන්,කිරුශන්තන්
ලියන,ලියනා,ලියන
ආරච්චිගේ,ආරච්චිගේ,ආරච්චිගේ
රන්ජන,එන්ජන,රන්ජන
රාලලාගේ,රාලලාගේ,රාලලාගේ
සේසත්පුර,සේසත්පුර,සේසත්පුර
‍ප්‍රියන්ත,ප්‍රියන්න,ප්‍රියන්ත
ලියනගේ,ලියනගේ,ලියනගේ
වසන්ත,චසන්ත,වසන්ත
සිරිල්,අසිරල්,සිරිල්
තිලකරත්න,නිලකරත්න,තිලකරත්න
අබේසිරිවර්ධන,අබේසිරිවර්ධන,අබේසිරිවර්ධන
මංජුලා,මංජුලා,මංජුලා
ෆාතිමා,ෆාච්මා,ෆාතිමා
ප්‍රේමතිලක,ප්‍රේමතිලක,ප්‍රේමතිලක
ඔක්‍රෙස්,ඞඈඔබක්‍රෙස්,ඔක්‍රෙස්
පෙරේරා,ශපෙරේරා,පෙරේරාං
කල්‍යානී,කල්‍යානී,කල්‍යානී
ප්‍රියංගිකා,ප්‍රියංගිකා,ප්‍රියංගිකා
සනත්,සනත්,සනත්
මෙරෙඤ්ඤගේ,මෙරෙඤ්ඤගේ,මෙරෙඤ්ඤගේ
රවින්ද්‍ර,රවචින්ලද්‍රා,රවින්ද්‍ය
කුලුතු,කුඳුබු,තකුලුතු
බුලංකුලම,බුලංකුලම,බුලංකුල
සුනේත්‍රා,ඞශඋසුනේටද්‍රාං,සුනේත්‍රා
සුහයිනා,සුගයිනා,ඞඈඋසුගයිනා
කෞශල්‍යා,කෞශල්‍ය,කෞශල්‍යා
කුසුම්ලතා,කුසුම්ලඳතා,ඞකුසුම්ලතා
කුමාර,කුමාර,කුමාර
බස්නායක,බස්නායක,බස්නායක
බාලසූරිය,බාලසූරය,බාලසූරිය
ඉන්දික,ඉන්දික,ඉන්දික
සෞම්‍යා,ඞසසෞම්‍යා,සෞම්‍යා
සිරිවර්ධනී,සිරිවර්ධනං,සිරිවර්ධන
කෞශල්‍යා,කෞශලනා,කෞශල්‍යා
අතුකෝරලලාගේ,අතුකෝරලලාගේ,අතුකෝරලලාගේ
පුණ්‍යසිරි,ඇපුණ්‍යසිටි,පුණාසිරගි
රත්නායක,රත්නායක,රත්නායක
ජයවික්‍රම,ජයවික්‍රම,ජයවික්‍රම
කුමාරී,බුමාර්,කුමාර්
කරුණා,කරුණා,කරුණා
පාලිත,පාලිත,පාලිත
