original,Malith,Abhaya
රොසාන්ති,රොසාන්තනි,රොසාන්ති
ගෙදර,ගෙදර,ගෙදර
හපුගොඩ,හපුගොඩ,හපුගොඩ
මනන්නලායේ,මනන්නලායේ,මනන්නලායේ
රවීන්ද්‍ර,රචීන්දට්‍රං,රවීිත්ද
රංගනාත්,රංගනාත්,ඈඉජරංගනාත්
නිස්‍රිබානුන්,නිසිබානුන්,නිස්‍රිබානුන්
අන්වර්,අන්වර්,අන්වර්ං
ගමරාලලාගේ,ගමරාලලාගේ,ගමරාලලාගේ
කෙහෙල්බැද්ද,කෙහෙල්බැද්ද,කෙහෙලබැද්ද
ප්‍රදීප්,පුදුජ්,පදිප්
හේෂානාත්,හේෂානාත්,හගේෂානාත්
දසනායක,දසනායක,දසනායක
ගනිත,ඔනිත,ගනිත
වික්‍රමසිංහ,වික්‍රමසිංං්‍යං,වික්‍රමසිං
අහිලන්,අහිලන්,අහිලන්
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
චන්ද්‍රදාස,චන්ද්‍රදාස,ඛඞඇචන්දුදාස
මුතුකුට්ටි,ඞමුතුබුට්ටි,මුතුකුටටිං
හෆීස්,හෆිස්,නහෆිස්
මෝදර,පෝදර,මෝදර
ජයකොඩි,පයකොඩි,ජයකොඩි
ගොන්ගාවල,ගොන්ගාවලං,ගශොන්ගාවල
සමාලි,සමාලි,සමාලි
හන්දිගේ,නන්දිගේ,හත්දිගේ
රවීන්ද්‍ර,රවින්ද්‍ර,රවිතද
හතුරුසිංහ,හතුරුසිංහ,හතුරුසිංං
පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ,පතිරන්නැහැලාගේ
චානක,චානනා,චානන
වික්‍රමනායක,චික්‍රමනායකං,වික්‍රමනායක
සුභසිංහ,සුභසිංහ,සුභසිංහ
එදිරිසිංහ,ඞඇචිදිර්සිංග,එදිරිසිංහ
සමරසිංහ,සමරසිංහ,සමරසිං
චන්ද්‍රලතා,චන්ද්‍රලතා,චන්දලතා
ජයසූරිය,ජයයූරය,ජයසූරිය
කංකනම්පතිරණගේ,කංකනම්පනිරණගේ,කංකනම්පතිරණගේ
සන්ධ්‍යා,සන්ධාන,සන්ධ්‍යා
සඳමාලි,සඳමාලි,ඞඔසඳමාලිං
ලීලාවතී,ලීලාවවී,ලීලාවතී
පලීල්දීන්,ඞඈපලීල්දීන්,ඛෞසඨඋපලීල්දීන්
චත්මා,චත්මා,ඛඞඝඛඔඑචත්මා
දසනායක,බසනායක,දසනායක
මුදියන්සේලාගේ,මුදියන්සේලාගේ,මුදියන්සේලාගේ
ලියන,ලියය,ලියයා
හඳුන්ගේ,ඞහඳුන්ගේ,ඞහදඳුන්ගේ
ලීශ්‍රියා,ලීලියා,ලීියියා
ජයන්ත,ජයන්ත,එගන්ත
වසන්ත,වසන්ත,වසන්ත
අබ්දුල්,අබුර්ක,අබදුල්
කසුන්,කසුන්,කයුන්
සයිමනි,සයිමනි,ඞසඛසයිමනි
කසනාක්,කසනාක්,කසනාක්
මනුෂා,මනුෂා,මනුෂා
මුහ්මිනීන්,ඞමුහ්මිනීන්,ඞඝමුහ්මිනීන්
ශමික,ග්බ,ශමික
කසුන්සිරි,කසුන්සිටි,කසුන්සිරි
ඩයනී,ඩයඞධි,ඩයනි
ප්‍රනාන්දු,ප්‍රනාන්ද්‍රුං,ප්‍රනාන්දු
අසේල,අසේල,අසේල
මහේෂිකා,මනේෂිකා,මගශේෂිකා
තම්බිරාසා,තම්බරාසා,තම්බිරාසා
අලගයියා,අලගයියා,ඞඅලගයියා
වසන්ත,වසන්ත,වසන්ත
අලහනවන්,අලහනවන්,ඞඅලගනවන්
